# Levtiades Atlas Lookup Table (MRIcroGL)
# Index	R	G	B	Label
1	210	70	50	Levinson:Locus_Coeruleus_LC
2	220	90	50	Levinson:Nucleus_Tractus_Solitarius_NTS
3	230	110	50	Levinson:Ventral_Tegmental_Area_VTA
4	240	130	50	Levinson:Periaqueductal_Gray_PAG
5	250	150	50	Levinson:Dorsal_Raphe_Nucleus_DRN
6	50	160	120	Tian:HIP-head-m1-rh
7	50	170	140	Tian:HIP-head-m2-rh
8	50	180	160	Tian:THA-VAip-rh
9	50	190	180	Tian:THA-VAia-rh
10	50	200	100	Tian:HIP-head-l-rh
11	50	210	120	Tian:HIP-body-rh
12	50	220	140	Tian:HIP-tail-rh
13	50	230	160	Tian:THA-VPm-rh
14	50	240	180	Tian:THA-VPl-rh
15	50	150	100	Tian:THA-VAs-rh
16	50	160	120	Tian:THA-DAm-rh
17	50	170	140	Tian:THA-DAl-rh
18	50	180	160	Tian:PUT-VA-rh
19	50	190	180	Tian:PUT-DA-rh
20	50	200	100	Tian:PUT-VP-rh
21	50	210	120	Tian:PUT-DP-rh
22	50	220	140	Tian:CAU-VA-rh
23	50	230	160	Tian:CAU-DA-rh
24	50	240	180	Tian:CAU-body-rh
25	50	150	100	Tian:CAU-tail-rh
26	50	160	120	Tian:lAMY-rh
27	50	170	140	Tian:mAMY-rh
28	50	180	160	Tian:THA-DP-rh
29	50	190	180	Tian:NAc-shell-rh
30	50	200	100	Tian:NAc-core-rh
31	50	210	120	Tian:pGP-rh
32	50	220	140	Tian:aGP-rh
33	50	230	160	Tian:HIP-head-m1-lh
34	50	240	180	Tian:HIP-head-m2-lh
35	50	150	100	Tian:THA-VAip-lh
36	50	160	120	Tian:THA-VAia-lh
37	50	170	140	Tian:HIP-head-l-lh
38	50	180	160	Tian:HIP-body-lh
39	50	190	180	Tian:HIP-tail-lh
40	50	200	100	Tian:THA-VPm-lh
41	50	210	120	Tian:THA-VPl-lh
42	50	220	140	Tian:THA-VAs-lh
43	50	230	160	Tian:THA-DAm-lh
44	50	240	180	Tian:THA-DAl-lh
45	50	150	100	Tian:PUT-VA-lh
46	50	160	120	Tian:PUT-DA-lh
47	50	170	140	Tian:PUT-VP-lh
48	50	180	160	Tian:PUT-DP-lh
49	50	190	180	Tian:CAU-VA-lh
50	50	200	100	Tian:CAU-DA-lh
51	50	210	120	Tian:CAU-body-lh
52	50	220	140	Tian:CAU-tail-lh
53	50	230	160	Tian:lAMY-lh
54	50	240	180	Tian:mAMY-lh
55	50	150	100	Tian:THA-DP-lh
56	50	160	120	Tian:NAc-shell-lh
57	50	170	140	Tian:NAc-core-lh
58	50	180	160	Tian:pGP-lh
59	50	190	180	Tian:aGP-lh
60	120	110	220	Destrieux:L G_and_S_frontomargin
61	140	120	240	Destrieux:L G_and_S_occipital_inf
62	160	130	200	Destrieux:L G_and_S_paracentral
63	180	140	220	Destrieux:L G_and_S_subcentral
64	100	150	240	Destrieux:L G_and_S_transv_frontopol
65	120	160	200	Destrieux:L G_and_S_cingul-Ant
66	140	170	220	Destrieux:L G_and_S_cingul-Mid-Ant
67	160	180	240	Destrieux:L G_and_S_cingul-Mid-Post
68	180	190	200	Destrieux:L G_cingul-Post-dorsal
