index,region_name,source_atlas,mni_x,mni_y,mni_z,volume_voxels,volume_mm3
1,Locus_Coeruleus_LC,Levinson,-0.0,-39.3,-27.5,84,672
2,Nucleus_Tractus_Solitarius_NTS,Levinson,0.9,-42.0,-47.9,589,4712
3,Ventral_Tegmental_Area_VTA,Levinson,0.3,-18.4,-14.5,283,2264
4,Periaqueductal_Gray_PAG,Levinson,0.4,-31.4,-8.3,128,1024
5,Dorsal_Raphe_Nucleus_DRN,Levinson,0.7,-34.1,-21.2,252,2016
6,HIP-head-m1-lh,Tian,-17.2,-11.1,-19.9,59,472
7,HIP-head-m2-lh,Tian,-19.5,-17.4,-16.5,39,312
8,THA-VAip-lh,Tian,-6.8,-14.7,3.9,199,1592
9,THA-VAia-lh,Tian,-4.0,-6.7,2.5,139,1112
10,HIP-head-l-lh,Tian,-28.4,-15.3,-19.7,187,1496
11,HIP-body-lh,Tian,-28.5,-27.6,-10.7,187,1496
12,HIP-tail-lh,Tian,-22.5,-37.7,-1.0,105,840
13,THA-VPm-lh,Tian,-7.5,-24.1,1.8,88,704
14,THA-VPl-lh,Tian,-15.6,-21.3,3.7,98,784
15,THA-VAs-lh,Tian,-7.8,-9.2,12.2,226,1808
16,THA-DAm-lh,Tian,-7.7,-24.2,11.1,172,1376
17,THA-DAl-lh,Tian,-14.7,-19.7,13.0,132,1056
18,PUT-VA-lh,Tian,-20.3,11.5,-5.3,206,1648
19,PUT-DA-lh,Tian,-23.9,6.4,1.0,207,1656
20,PUT-VP-lh,Tian,-28.7,-11.2,-0.1,245,1960
21,PUT-DP-lh,Tian,-25.3,-2.3,6.9,240,1920
22,CAU-VA-lh,Tian,-8.6,11.2,4.9,121,968
23,CAU-DA-lh,Tian,-13.6,17.2,7.9,165,1320
24,CAU-body-lh,Tian,-12.3,5.5,15.3,107,856
25,CAU-tail-lh,Tian,-13.8,-2.6,19.7,42,336
26,lAMY-lh,Tian,-25.4,-2.0,-19.2,84,672
27,mAMY-lh,Tian,-19.3,-5.3,-16.3,190,1520
28,THA-DP-lh,Tian,-14.9,-30.9,2.8,201,1608
29,NAc-shell-lh,Tian,-9.7,11.0,-6.7,101,808
30,NAc-core-lh,Tian,-12.8,18.6,-2.9,90,720
31,pGP-lh,Tian,-21.1,-8.3,-1.6,90,720
32,aGP-lh,Tian,-15.7,-0.1,-1.7,108,864
33,HIP-head-m1-rh,Tian,19.1,-11.1,-19.6,54,432
34,HIP-head-m2-rh,Tian,21.4,-17.3,-16.2,34,272
35,THA-VAip-rh,Tian,8.8,-14.7,3.9,199,1592
36,THA-VAia-rh,Tian,6.0,-6.7,2.5,139,1112
37,HIP-head-l-rh,Tian,30.3,-15.2,-19.8,192,1536
38,HIP-body-rh,Tian,30.5,-27.6,-10.7,189,1512
39,HIP-tail-rh,Tian,24.5,-37.7,-1.0,104,832
40,THA-VPm-rh,Tian,9.5,-24.1,1.8,88,704
41,THA-VPl-rh,Tian,17.6,-21.3,3.7,98,784
42,THA-VAs-rh,Tian,9.8,-9.2,12.2,226,1808
43,THA-DAm-rh,Tian,9.7,-24.2,11.1,172,1376
44,THA-DAl-rh,Tian,16.7,-19.7,13.0,132,1056
45,PUT-VA-rh,Tian,22.3,11.5,-5.3,206,1648
46,PUT-DA-rh,Tian,25.9,6.4,1.0,207,1656
47,PUT-VP-rh,Tian,30.7,-11.2,-0.1,245,1960
48,PUT-DP-rh,Tian,27.3,-2.3,6.9,240,1920
49,CAU-VA-rh,Tian,10.6,11.2,4.9,121,968
50,CAU-DA-rh,Tian,15.6,17.2,7.9,165,1320
51,CAU-body-rh,Tian,14.3,5.5,15.3,107,856
52,CAU-tail-rh,Tian,15.8,-2.6,19.7,42,336
53,lAMY-rh,Tian,28.2,-2.2,-19.2,89,712
54,mAMY-rh,Tian,21.3,-5.3,-16.3,190,1520
55,THA-DP-rh,Tian,16.9,-30.8,2.9,198,1584
56,NAc-shell-rh,Tian,11.2,10.9,-6.8,116,928
57,NAc-core-rh,Tian,14.8,18.6,-2.9,90,720
58,pGP-rh,Tian,23.1,-8.3,-1.6,90,720
59,aGP-rh,Tian,17.7,-0.1,-1.7,108,864
60,"(1, 'L G_and_S_frontomargin')",Destrieux,-23.3,55.7,-8.2,446,3568
61,"(2, 'L G_and_S_occipital_inf')",Destrieux,-37.2,-83.3,-12.0,446,3568
62,"(3, 'L G_and_S_paracentral')",Destrieux,-8.2,-34.4,68.8,826,6608
63,"(4, 'L G_and_S_subcentral')",Destrieux,-56.3,-12.3,15.6,813,6504
64,"(5, 'L G_and_S_transv_frontopol')",Destrieux,-14.2,62.6,-0.6,365,2920
65,"(6, 'L G_and_S_cingul-Ant')",Destrieux,-8.0,37.9,10.4,718,5744
66,"(7, 'L G_and_S_cingul-Mid-Ant')",Destrieux,-7.4,14.8,35.9,490,3920
67,"(8, 'L G_and_S_cingul-Mid-Post')",Destrieux,-7.9,-12.4,42.2,485,3880
68,"(9, 'L G_cingul-Post-dorsal')",Destrieux,-4.0,-40.2,31.9,318,2544
69,"(10, 'L G_cingul-Post-ventral')",Destrieux,-7.7,-49.4,6.1,145,1160
