levtiades_index,source_atlas,original_index,region_name,voxel_count,original_roi_file
1,Levinson,1,Locus_Coeruleus_LC,84,levinson_001_Locus_Coeruleus_LC.nii.gz
2,Levinson,2,Nucleus_Tractus_Solitarius_NTS,589,levinson_002_Nucleus_Tractus_Solitarius_NTS.nii.gz
3,Levinson,3,Ventral_Tegmental_Area_VTA,283,levinson_003_Ventral_Tegmental_Area_VTA.nii.gz
4,Levinson,4,Periaqueductal_Gray_PAG,128,levinson_004_Periaqueductal_Gray_PAG.nii.gz
5,Levinson,5,Dorsal_Raphe_Nucleus_DRN,252,levinson_005_Dorsal_Raphe_Nucleus_DRN.nii.gz
6,Tian,28,HIP-head-m1-lh,85,tian_028_HIP-head-m1-lh.nii.gz
7,Tian,29,HIP-head-m2-lh,45,tian_029_HIP-head-m2-lh.nii.gz
8,Tian,30,THA-VAip-lh,199,tian_030_THA-VAip-lh.nii.gz
9,Tian,31,THA-VAia-lh,139,tian_031_THA-VAia-lh.nii.gz
10,Tian,32,HIP-head-l-lh,216,tian_032_HIP-head-l-lh.nii.gz
11,Tian,33,HIP-body-lh,198,tian_033_HIP-body-lh.nii.gz
12,Tian,34,HIP-tail-lh,106,tian_034_HIP-tail-lh.nii.gz
13,Tian,35,THA-VPm-lh,88,tian_035_THA-VPm-lh.nii.gz
14,Tian,36,THA-VPl-lh,98,tian_036_THA-VPl-lh.nii.gz
15,Tian,37,THA-VAs-lh,226,tian_037_THA-VAs-lh.nii.gz
16,Tian,38,THA-DAm-lh,172,tian_038_THA-DAm-lh.nii.gz
17,Tian,39,THA-DAl-lh,132,tian_039_THA-DAl-lh.nii.gz
18,Tian,40,PUT-VA-lh,206,tian_040_PUT-VA-lh.nii.gz
19,Tian,41,PUT-DA-lh,207,tian_041_PUT-DA-lh.nii.gz
20,Tian,42,PUT-VP-lh,245,tian_042_PUT-VP-lh.nii.gz
21,Tian,43,PUT-DP-lh,240,tian_043_PUT-DP-lh.nii.gz
22,Tian,44,CAU-VA-lh,121,tian_044_CAU-VA-lh.nii.gz
23,Tian,45,CAU-DA-lh,165,tian_045_CAU-DA-lh.nii.gz
24,Tian,46,CAU-body-lh,107,tian_046_CAU-body-lh.nii.gz
25,Tian,47,CAU-tail-lh,42,tian_047_CAU-tail-lh.nii.gz
26,Tian,48,lAMY-lh,160,tian_048_lAMY-lh.nii.gz
27,Tian,49,mAMY-lh,190,tian_049_mAMY-lh.nii.gz
28,Tian,50,THA-DP-lh,201,tian_050_THA-DP-lh.nii.gz
29,Tian,51,NAc-shell-lh,116,tian_051_NAc-shell-lh.nii.gz
30,Tian,52,NAc-core-lh,90,tian_052_NAc-core-lh.nii.gz
31,Tian,53,pGP-lh,90,tian_053_pGP-lh.nii.gz
32,Tian,54,aGP-lh,108,tian_054_aGP-lh.nii.gz
33,Tian,1,HIP-head-m1-rh,85,tian_001_HIP-head-m1-rh.nii.gz
34,Tian,2,HIP-head-m2-rh,45,tian_002_HIP-head-m2-rh.nii.gz
35,Tian,3,THA-VAip-rh,199,tian_003_THA-VAip-rh.nii.gz
36,Tian,4,THA-VAia-rh,139,tian_004_THA-VAia-rh.nii.gz
