# TianDes Limbic-Cortical Atlas Label File
# Format: ID: Region_Name [Source_Atlas]
# Tian subcortical regions: 1-54
# Destrieux cortical regions: 101-250

1: Tian_Unknown_1 [Tian_S4]
2: Tian_Unknown_2 [Tian_S4]
3: Tian_Unknown_3 [Tian_S4]
4: Tian_Unknown_4 [Tian_S4]
5: Tian_Unknown_5 [Tian_S4]
6: Tian_Unknown_6 [Tian_S4]
7: Tian_Unknown_7 [Tian_S4]
8: Tian_Unknown_8 [Tian_S4]
9: Tian_Unknown_9 [Tian_S4]
10: Tian_Unknown_10 [Tian_S4]
11: Tian_Unknown_11 [Tian_S4]
12: Tian_Unknown_12 [Tian_S4]
13: Tian_Unknown_13 [Tian_S4]
14: Tian_Unknown_14 [Tian_S4]
15: Tian_Unknown_15 [Tian_S4]
16: Tian_Unknown_16 [Tian_S4]
17: Tian_Unknown_17 [Tian_S4]
18: Tian_Unknown_18 [Tian_S4]
19: Tian_Unknown_19 [Tian_S4]
20: Tian_Unknown_20 [Tian_S4]
21: Tian_Unknown_21 [Tian_S4]
22: Tian_Unknown_22 [Tian_S4]
23: Tian_Unknown_23 [Tian_S4]
24: Tian_Unknown_24 [Tian_S4]
25: Tian_Unknown_25 [Tian_S4]
26: Tian_Unknown_26 [Tian_S4]
27: Tian_Unknown_27 [Tian_S4]
28: Tian_Unknown_28 [Tian_S4]
29: Tian_Unknown_29 [Tian_S4]
30: Tian_Unknown_30 [Tian_S4]
31: Tian_Unknown_31 [Tian_S4]
32: Tian_Unknown_32 [Tian_S4]
33: Tian_Unknown_33 [Tian_S4]
34: Tian_Unknown_34 [Tian_S4]
35: Tian_Unknown_35 [Tian_S4]
36: Tian_Unknown_36 [Tian_S4]
37: Tian_Unknown_37 [Tian_S4]
38: Tian_Unknown_38 [Tian_S4]
39: Tian_Unknown_39 [Tian_S4]
40: Tian_Unknown_40 [Tian_S4]
41: Tian_Unknown_41 [Tian_S4]
42: Tian_Unknown_42 [Tian_S4]
43: Tian_Unknown_43 [Tian_S4]
44: Tian_Unknown_44 [Tian_S4]
45: Tian_Unknown_45 [Tian_S4]
46: Tian_Unknown_46 [Tian_S4]
47: Tian_Unknown_47 [Tian_S4]
48: Tian_Unknown_48 [Tian_S4]
49: Tian_Unknown_49 [Tian_S4]
50: Tian_Unknown_50 [Tian_S4]
51: Tian_Unknown_51 [Tian_S4]
52: Tian_Unknown_52 [Tian_S4]
53: Tian_Unknown_53 [Tian_S4]
54: Tian_Unknown_54 [Tian_S4]
101: (1, 'L G_and_S_frontomargin') [Destrieux]
102: (2, 'L G_and_S_occipital_inf') [Destrieux]
103: (3, 'L G_and_S_paracentral') [Destrieux]
104: (4, 'L G_and_S_subcentral') [Destrieux]
105: (5, 'L G_and_S_transv_frontopol') [Destrieux]
106: (6, 'L G_and_S_cingul-Ant') [Destrieux]
107: (7, 'L G_and_S_cingul-Mid-Ant') [Destrieux]
108: (8, 'L G_and_S_cingul-Mid-Post') [Destrieux]
109: (9, 'L G_cingul-Post-dorsal') [Destrieux]
110: (10, 'L G_cingul-Post-ventral') [Destrieux]
111: (11, 'L G_cuneus') [Destrieux]
112: (12, 'L G_front_inf-Opercular') [Destrieux]
113: (13, 'L G_front_inf-Orbital') [Destrieux]
114: (14, 'L G_front_inf-Triangul') [Destrieux]
115: (15, 'L G_front_middle') [Destrieux]
116: (16, 'L G_front_sup') [Destrieux]
117: (17, 'L G_Ins_lg_and_S_cent_ins') [Destrieux]
118: (18, 'L G_insular_short') [Destrieux]
119: (19, 'L G_occipital_middle') [Destrieux]
120: (20, 'L G_occipital_sup') [Destrieux]
121: (21, 'L G_oc-temp_lat-fusifor') [Destrieux]
122: (22, 'L G_oc-temp_med-Lingual') [Destrieux]
123: (23, 'L G_oc-temp_med-Parahip') [Destrieux]
124: (24, 'L G_orbital') [Destrieux]
125: (25, 'L G_pariet_inf-Angular') [Destrieux]
126: (26, 'L G_pariet_inf-Supramar') [Destrieux]
127: (27, 'L G_parietal_sup') [Destrieux]
128: (28, 'L G_postcentral') [Destrieux]
129: (29, 'L G_precentral') [Destrieux]
130: (30, 'L G_precuneus') [Destrieux]
131: (31, 'L G_rectus') [Destrieux]
132: (32, 'L G_subcallosal') [Destrieux]
133: (33, 'L G_temp_sup-G_T_transv') [Destrieux]
134: (34, 'L G_temp_sup-Lateral') [Destrieux]
135: (35, 'L G_temp_sup-Plan_polar') [Destrieux]
136: (36, 'L G_temp_sup-Plan_tempo') [Destrieux]
137: (37, 'L G_temporal_inf') [Destrieux]
138: (38, 'L G_temporal_middle') [Destrieux]
139: (39, 'L Lat_Fis-ant-Horizont') [Destrieux]
140: (40, 'L Lat_Fis-ant-Vertical') [Destrieux]
141: (41, 'L Lat_Fis-post') [Destrieux]
143: (43, 'L Pole_occipital') [Destrieux]
144: (44, 'L Pole_temporal') [Destrieux]
145: (45, 'L S_calcarine') [Destrieux]
146: (46, 'L S_central') [Destrieux]
147: (47, 'L S_cingul-Marginalis') [Destrieux]
148: (48, 'L S_circular_insula_ant') [Destrieux]
149: (49, 'L S_circular_insula_inf') [Destrieux]
150: (50, 'L S_circular_insula_sup') [Destrieux]
151: (51, 'L S_collat_transv_ant') [Destrieux]
152: (52, 'L S_collat_transv_post') [Destrieux]
153: (53, 'L S_front_inf') [Destrieux]
154: (54, 'L S_front_middle') [Destrieux]
155: (55, 'L S_front_sup') [Destrieux]
156: (56, 'L S_interm_prim-Jensen') [Destrieux]
157: (57, 'L S_intrapariet_and_P_trans') [Destrieux]
158: (58, 'L S_oc_middle_and_Lunatus') [Destrieux]
159: (59, 'L S_oc_sup_and_transversal') [Destrieux]
160: (60, 'L S_occipital_ant') [Destrieux]
161: (61, 'L S_oc-temp_lat') [Destrieux]
162: (62, 'L S_oc-temp_med_and_Lingual') [Destrieux]
163: (63, 'L S_orbital_lateral') [Destrieux]
164: (64, 'L S_orbital_med-olfact') [Destrieux]
165: (65, 'L S_orbital-H_Shaped') [Destrieux]
166: (66, 'L S_parieto_occipital') [Destrieux]
167: (67, 'L S_pericallosal') [Destrieux]
168: (68, 'L S_postcentral') [Destrieux]
169: (69, 'L S_precentral-inf-part') [Destrieux]
170: (70, 'L S_precentral-sup-part') [Destrieux]
171: (71, 'L S_suborbital') [Destrieux]
172: (72, 'L S_subparietal') [Destrieux]
173: (73, 'L S_temporal_inf') [Destrieux]
174: (74, 'L S_temporal_sup') [Destrieux]
175: (75, 'L S_temporal_transverse') [Destrieux]
176: (76, 'R G_and_S_frontomargin') [Destrieux]
177: (77, 'R G_and_S_occipital_inf') [Destrieux]
178: (78, 'R G_and_S_paracentral') [Destrieux]
179: (79, 'R G_and_S_subcentral') [Destrieux]
180: (80, 'R G_and_S_transv_frontopol') [Destrieux]
181: (81, 'R G_and_S_cingul-Ant') [Destrieux]
182: (82, 'R G_and_S_cingul-Mid-Ant') [Destrieux]
183: (83, 'R G_and_S_cingul-Mid-Post') [Destrieux]
184: (84, 'R G_cingul-Post-dorsal') [Destrieux]
185: (85, 'R G_cingul-Post-ventral') [Destrieux]
186: (86, 'R G_cuneus') [Destrieux]
187: (87, 'R G_front_inf-Opercular') [Destrieux]
188: (88, 'R G_front_inf-Orbital') [Destrieux]
189: (89, 'R G_front_inf-Triangul') [Destrieux]
190: (90, 'R G_front_middle') [Destrieux]
191: (91, 'R G_front_sup') [Destrieux]
192: (92, 'R G_Ins_lg_and_S_cent_ins') [Destrieux]
193: (93, 'R G_insular_short') [Destrieux]
194: (94, 'R G_occipital_middle') [Destrieux]
195: (95, 'R G_occipital_sup') [Destrieux]
196: (96, 'R G_oc-temp_lat-fusifor') [Destrieux]
197: (97, 'R G_oc-temp_med-Lingual') [Destrieux]
198: (98, 'R G_oc-temp_med-Parahip') [Destrieux]
199: (99, 'R G_orbital') [Destrieux]
200: (100, 'R G_pariet_inf-Angular') [Destrieux]
