# TianDes Atlas Lookup Table (FSL/MRIcrogl compatible)
# Index	R	G	B	Label
1	152	101	100	Tian:Tian_Unknown_1
2	154	103	100	Tian:Tian_Unknown_2
3	156	104	100	Tian:Tian_Unknown_3
4	158	106	100	Tian:Tian_Unknown_4
5	160	107	100	Tian:Tian_Unknown_5
6	162	109	100	Tian:Tian_Unknown_6
7	164	110	100	Tian:Tian_Unknown_7
8	166	112	100	Tian:Tian_Unknown_8
9	168	113	100	Tian:Tian_Unknown_9
10	170	115	100	Tian:Tian_Unknown_10
11	172	116	100	Tian:Tian_Unknown_11
12	174	118	100	Tian:Tian_Unknown_12
13	176	119	100	Tian:Tian_Unknown_13
14	178	121	100	Tian:Tian_Unknown_14
15	180	122	100	Tian:Tian_Unknown_15
16	182	124	100	Tian:Tian_Unknown_16
17	184	125	100	Tian:Tian_Unknown_17
18	186	127	100	Tian:Tian_Unknown_18
19	188	128	100	Tian:Tian_Unknown_19
20	190	130	100	Tian:Tian_Unknown_20
21	192	131	100	Tian:Tian_Unknown_21
22	194	133	100	Tian:Tian_Unknown_22
23	196	134	100	Tian:Tian_Unknown_23
24	198	136	100	Tian:Tian_Unknown_24
25	200	137	100	Tian:Tian_Unknown_25
26	202	139	100	Tian:Tian_Unknown_26
27	204	140	100	Tian:Tian_Unknown_27
28	206	142	100	Tian:Tian_Unknown_28
29	208	143	100	Tian:Tian_Unknown_29
30	210	145	100	Tian:Tian_Unknown_30
31	212	146	100	Tian:Tian_Unknown_31
32	214	148	100	Tian:Tian_Unknown_32
33	216	149	100	Tian:Tian_Unknown_33
34	218	151	100	Tian:Tian_Unknown_34
35	220	152	100	Tian:Tian_Unknown_35
36	222	154	100	Tian:Tian_Unknown_36
37	224	155	100	Tian:Tian_Unknown_37
38	226	157	100	Tian:Tian_Unknown_38
39	228	158	100	Tian:Tian_Unknown_39
40	230	160	100	Tian:Tian_Unknown_40
41	232	161	100	Tian:Tian_Unknown_41
42	234	163	100	Tian:Tian_Unknown_42
43	236	164	100	Tian:Tian_Unknown_43
44	238	166	100	Tian:Tian_Unknown_44
45	240	167	100	Tian:Tian_Unknown_45
46	242	169	100	Tian:Tian_Unknown_46
47	244	170	100	Tian:Tian_Unknown_47
48	246	172	100	Tian:Tian_Unknown_48
49	248	173	100	Tian:Tian_Unknown_49
50	250	175	100	Tian:Tian_Unknown_50
51	252	176	100	Tian:Tian_Unknown_51
52	254	178	100	Tian:Tian_Unknown_52
53	255	179	100	Tian:Tian_Unknown_53
54	255	181	100	Tian:Tian_Unknown_54
101	100	101	151	Destrieux:(1, 'L G_and_S_frontomargin')
102	100	102	153	Destrieux:(2, 'L G_and_S_occipital_inf')
103	100	103	155	Destrieux:(3, 'L G_and_S_paracentral')
104	100	104	157	Destrieux:(4, 'L G_and_S_subcentral')
105	100	106	159	Destrieux:(5, 'L G_and_S_transv_frontopol')
106	100	107	160	Destrieux:(6, 'L G_and_S_cingul-Ant')
107	100	108	162	Destrieux:(7, 'L G_and_S_cingul-Mid-Ant')
108	100	109	164	Destrieux:(8, 'L G_and_S_cingul-Mid-Post')
109	100	110	166	Destrieux:(9, 'L G_cingul-Post-dorsal')
110	100	112	168	Destrieux:(10, 'L G_cingul-Post-ventral')
