label_id,source_atlas,region_name,voxel_count,volume_mm3
1,Tian_S4,Unknown_1,85,680
2,Tian_S4,Unknown_2,45,360
3,Tian_S4,Unknown_3,199,1592
4,Tian_S4,Unknown_4,139,1112
5,Tian_S4,Unknown_5,216,1728
6,Tian_S4,Unknown_6,198,1584
7,Tian_S4,Unknown_7,106,848
8,Tian_S4,Unknown_8,88,704
9,Tian_S4,Unknown_9,98,784
10,Tian_S4,Unknown_10,226,1808
11,Tian_S4,Unknown_11,172,1376
12,Tian_S4,Unknown_12,132,1056
13,Tian_S4,Unknown_13,206,1648
14,Tian_S4,Unknown_14,207,1656
15,Tian_S4,Unknown_15,245,1960
16,Tian_S4,Unknown_16,240,1920
17,Tian_S4,Unknown_17,121,968
18,Tian_S4,Unknown_18,165,1320
19,Tian_S4,Unknown_19,107,856
20,Tian_S4,Unknown_20,42,336
21,Tian_S4,Unknown_21,160,1280
22,Tian_S4,Unknown_22,190,1520
23,Tian_S4,Unknown_23,201,1608
24,Tian_S4,Unknown_24,116,928
25,Tian_S4,Unknown_25,90,720
26,Tian_S4,Unknown_26,90,720
27,Tian_S4,Unknown_27,108,864
28,Tian_S4,Unknown_28,85,680
29,Tian_S4,Unknown_29,45,360
30,Tian_S4,Unknown_30,199,1592
31,Tian_S4,Unknown_31,139,1112
32,Tian_S4,Unknown_32,216,1728
33,Tian_S4,Unknown_33,198,1584
34,Tian_S4,Unknown_34,106,848
35,Tian_S4,Unknown_35,88,704
36,Tian_S4,Unknown_36,98,784
37,Tian_S4,Unknown_37,226,1808
38,Tian_S4,Unknown_38,172,1376
39,Tian_S4,Unknown_39,132,1056
40,Tian_S4,Unknown_40,206,1648
41,Tian_S4,Unknown_41,207,1656
42,Tian_S4,Unknown_42,245,1960
43,Tian_S4,Unknown_43,240,1920
44,Tian_S4,Unknown_44,121,968
45,Tian_S4,Unknown_45,165,1320
46,Tian_S4,Unknown_46,107,856
47,Tian_S4,Unknown_47,42,336
48,Tian_S4,Unknown_48,160,1280
49,Tian_S4,Unknown_49,190,1520
50,Tian_S4,Unknown_50,201,1608
51,Tian_S4,Unknown_51,116,928
52,Tian_S4,Unknown_52,90,720
53,Tian_S4,Unknown_53,90,720
54,Tian_S4,Unknown_54,108,864
101,Destrieux,"(1, 'L G_and_S_frontomargin')",446,3568
102,Destrieux,"(2, 'L G_and_S_occipital_inf')",446,3568
103,Destrieux,"(3, 'L G_and_S_paracentral')",826,6608
104,Destrieux,"(4, 'L G_and_S_subcentral')",813,6504
105,Destrieux,"(5, 'L G_and_S_transv_frontopol')",365,2920
106,Destrieux,"(6, 'L G_and_S_cingul-Ant')",718,5744
107,Destrieux,"(7, 'L G_and_S_cingul-Mid-Ant')",490,3920
108,Destrieux,"(8, 'L G_and_S_cingul-Mid-Post')",485,3880
109,Destrieux,"(9, 'L G_cingul-Post-dorsal')",318,2544
110,Destrieux,"(10, 'L G_cingul-Post-ventral')",145,1160
111,Destrieux,"(11, 'L G_cuneus')",569,4552
112,Destrieux,"(12, 'L G_front_inf-Opercular')",770,6160
113,Destrieux,"(13, 'L G_front_inf-Orbital')",195,1560
114,Destrieux,"(14, 'L G_front_inf-Triangul')",432,3456
115,Destrieux,"(15, 'L G_front_middle')",1791,14328
116,Destrieux,"(16, 'L G_front_sup')",3777,30216
117,Destrieux,"(17, 'L G_Ins_lg_and_S_cent_ins')",319,2552
118,Destrieux,"(18, 'L G_insular_short')",457,3656
119,Destrieux,"(19, 'L G_occipital_middle')",834,6672
120,Destrieux,"(20, 'L G_occipital_sup')",522,4176
121,Destrieux,"(21, 'L G_oc-temp_lat-fusifor')",911,7288
122,Destrieux,"(22, 'L G_oc-temp_med-Lingual')",1073,8584
123,Destrieux,"(23, 'L G_oc-temp_med-Parahip')",884,7072
