0: (0, 'Background')
1: (1, 'L G_and_S_frontomargin')
2: (2, 'L G_and_S_occipital_inf')
3: (3, 'L G_and_S_paracentral')
4: (4, 'L G_and_S_subcentral')
5: (5, 'L G_and_S_transv_frontopol')
6: (6, 'L G_and_S_cingul-Ant')
7: (7, 'L G_and_S_cingul-Mid-Ant')
8: (8, 'L G_and_S_cingul-Mid-Post')
9: (9, 'L G_cingul-Post-dorsal')
10: (10, 'L G_cingul-Post-ventral')
11: (11, 'L G_cuneus')
12: (12, 'L G_front_inf-Opercular')
13: (13, 'L G_front_inf-Orbital')
14: (14, 'L G_front_inf-Triangul')
15: (15, 'L G_front_middle')
16: (16, 'L G_front_sup')
17: (17, 'L G_Ins_lg_and_S_cent_ins')
18: (18, 'L G_insular_short')
19: (19, 'L G_occipital_middle')
20: (20, 'L G_occipital_sup')
21: (21, 'L G_oc-temp_lat-fusifor')
22: (22, 'L G_oc-temp_med-Lingual')
23: (23, 'L G_oc-temp_med-Parahip')
24: (24, 'L G_orbital')
25: (25, 'L G_pariet_inf-Angular')
26: (26, 'L G_pariet_inf-Supramar')
27: (27, 'L G_parietal_sup')
28: (28, 'L G_postcentral')
29: (29, 'L G_precentral')
30: (30, 'L G_precuneus')
31: (31, 'L G_rectus')
32: (32, 'L G_subcallosal')
33: (33, 'L G_temp_sup-G_T_transv')
34: (34, 'L G_temp_sup-Lateral')
35: (35, 'L G_temp_sup-Plan_polar')
36: (36, 'L G_temp_sup-Plan_tempo')
37: (37, 'L G_temporal_inf')
38: (38, 'L G_temporal_middle')
39: (39, 'L Lat_Fis-ant-Horizont')
40: (40, 'L Lat_Fis-ant-Vertical')
41: (41, 'L Lat_Fis-post')
42: (42, 'L Medial_wall')
43: (43, 'L Pole_occipital')
44: (44, 'L Pole_temporal')
45: (45, 'L S_calcarine')
46: (46, 'L S_central')
47: (47, 'L S_cingul-Marginalis')
48: (48, 'L S_circular_insula_ant')
49: (49, 'L S_circular_insula_inf')
50: (50, 'L S_circular_insula_sup')
51: (51, 'L S_collat_transv_ant')
52: (52, 'L S_collat_transv_post')
53: (53, 'L S_front_inf')
54: (54, 'L S_front_middle')
55: (55, 'L S_front_sup')
56: (56, 'L S_interm_prim-Jensen')
57: (57, 'L S_intrapariet_and_P_trans')
58: (58, 'L S_oc_middle_and_Lunatus')
59: (59, 'L S_oc_sup_and_transversal')
60: (60, 'L S_occipital_ant')
61: (61, 'L S_oc-temp_lat')
62: (62, 'L S_oc-temp_med_and_Lingual')
63: (63, 'L S_orbital_lateral')
64: (64, 'L S_orbital_med-olfact')
65: (65, 'L S_orbital-H_Shaped')
66: (66, 'L S_parieto_occipital')
67: (67, 'L S_pericallosal')
68: (68, 'L S_postcentral')
69: (69, 'L S_precentral-inf-part')
70: (70, 'L S_precentral-sup-part')
71: (71, 'L S_suborbital')
72: (72, 'L S_subparietal')
73: (73, 'L S_temporal_inf')
74: (74, 'L S_temporal_sup')
75: (75, 'L S_temporal_transverse')
76: (76, 'R G_and_S_frontomargin')
77: (77, 'R G_and_S_occipital_inf')
78: (78, 'R G_and_S_paracentral')
79: (79, 'R G_and_S_subcentral')
80: (80, 'R G_and_S_transv_frontopol')
81: (81, 'R G_and_S_cingul-Ant')
82: (82, 'R G_and_S_cingul-Mid-Ant')
83: (83, 'R G_and_S_cingul-Mid-Post')
84: (84, 'R G_cingul-Post-dorsal')
85: (85, 'R G_cingul-Post-ventral')
86: (86, 'R G_cuneus')
87: (87, 'R G_front_inf-Opercular')
88: (88, 'R G_front_inf-Orbital')
89: (89, 'R G_front_inf-Triangul')
90: (90, 'R G_front_middle')
91: (91, 'R G_front_sup')
92: (92, 'R G_Ins_lg_and_S_cent_ins')
93: (93, 'R G_insular_short')
94: (94, 'R G_occipital_middle')
95: (95, 'R G_occipital_sup')
96: (96, 'R G_oc-temp_lat-fusifor')
97: (97, 'R G_oc-temp_med-Lingual')
98: (98, 'R G_oc-temp_med-Parahip')
99: (99, 'R G_orbital')
100: (100, 'R G_pariet_inf-Angular')
101: (101, 'R G_pariet_inf-Supramar')
102: (102, 'R G_parietal_sup')
103: (103, 'R G_postcentral')
104: (104, 'R G_precentral')
105: (105, 'R G_precuneus')
106: (106, 'R G_rectus')
107: (107, 'R G_subcallosal')
108: (108, 'R G_temp_sup-G_T_transv')
109: (109, 'R G_temp_sup-Lateral')
110: (110, 'R G_temp_sup-Plan_polar')
111: (111, 'R G_temp_sup-Plan_tempo')
112: (112, 'R G_temporal_inf')
113: (113, 'R G_temporal_middle')
114: (114, 'R Lat_Fis-ant-Horizont')
115: (115, 'R Lat_Fis-ant-Vertical')
116: (116, 'R Lat_Fis-post')
117: (117, 'R Medial_wall')
118: (118, 'R Pole_occipital')
119: (119, 'R Pole_temporal')
120: (120, 'R S_calcarine')
121: (121, 'R S_central')
122: (122, 'R S_cingul-Marginalis')
123: (123, 'R S_circular_insula_ant')
124: (124, 'R S_circular_insula_inf')
125: (125, 'R S_circular_insula_sup')
126: (126, 'R S_collat_transv_ant')
127: (127, 'R S_collat_transv_post')
128: (128, 'R S_front_inf')
129: (129, 'R S_front_middle')
130: (130, 'R S_front_sup')
131: (131, 'R S_interm_prim-Jensen')
132: (132, 'R S_intrapariet_and_P_trans')
133: (133, 'R S_oc_middle_and_Lunatus')
134: (134, 'R S_oc_sup_and_transversal')
135: (135, 'R S_occipital_ant')
136: (136, 'R S_oc-temp_lat')
137: (137, 'R S_oc-temp_med_and_Lingual')
138: (138, 'R S_orbital_lateral')
139: (139, 'R S_orbital_med-olfact')
140: (140, 'R S_orbital-H_Shaped')
141: (141, 'R S_parieto_occipital')
142: (142, 'R S_pericallosal')
143: (143, 'R S_postcentral')
144: (144, 'R S_precentral-inf-part')
145: (145, 'R S_precentral-sup-part')
146: (146, 'R S_suborbital')
147: (147, 'R S_subparietal')
148: (148, 'R S_temporal_inf')
149: (149, 'R S_temporal_sup')
150: (150, 'R S_temporal_transverse')
