roi_file,roi_type,source_atlas,voxel_count,volume_mm3,relative_path
Tian_01_Tian_Unknown_1.nii.gz,Subcortical,Tian_S4,85,680,individual_rois/limbic/Tian_01_Tian_Unknown_1.nii.gz
Tian_02_Tian_Unknown_2.nii.gz,Subcortical,Tian_S4,45,360,individual_rois/limbic/Tian_02_Tian_Unknown_2.nii.gz
Tian_03_Tian_Unknown_3.nii.gz,Subcortical,Tian_S4,199,1592,individual_rois/limbic/Tian_03_Tian_Unknown_3.nii.gz
Tian_04_Tian_Unknown_4.nii.gz,Subcortical,Tian_S4,139,1112,individual_rois/limbic/Tian_04_Tian_Unknown_4.nii.gz
Tian_05_Tian_Unknown_5.nii.gz,Subcortical,Tian_S4,216,1728,individual_rois/limbic/Tian_05_Tian_Unknown_5.nii.gz
Tian_06_Tian_Unknown_6.nii.gz,Subcortical,Tian_S4,198,1584,individual_rois/limbic/Tian_06_Tian_Unknown_6.nii.gz
Tian_07_Tian_Unknown_7.nii.gz,Subcortical,Tian_S4,106,848,individual_rois/limbic/Tian_07_Tian_Unknown_7.nii.gz
Tian_08_Tian_Unknown_8.nii.gz,Subcortical,Tian_S4,88,704,individual_rois/limbic/Tian_08_Tian_Unknown_8.nii.gz
Tian_09_Tian_Unknown_9.nii.gz,Subcortical,Tian_S4,98,784,individual_rois/limbic/Tian_09_Tian_Unknown_9.nii.gz
Tian_10_Tian_Unknown_10.nii.gz,Subcortical,Tian_S4,226,1808,individual_rois/limbic/Tian_10_Tian_Unknown_10.nii.gz
Tian_11_Tian_Unknown_11.nii.gz,Subcortical,Tian_S4,172,1376,individual_rois/limbic/Tian_11_Tian_Unknown_11.nii.gz
Tian_12_Tian_Unknown_12.nii.gz,Subcortical,Tian_S4,132,1056,individual_rois/limbic/Tian_12_Tian_Unknown_12.nii.gz
Tian_13_Tian_Unknown_13.nii.gz,Subcortical,Tian_S4,206,1648,individual_rois/limbic/Tian_13_Tian_Unknown_13.nii.gz
Tian_14_Tian_Unknown_14.nii.gz,Subcortical,Tian_S4,207,1656,individual_rois/limbic/Tian_14_Tian_Unknown_14.nii.gz
Tian_15_Tian_Unknown_15.nii.gz,Subcortical,Tian_S4,245,1960,individual_rois/limbic/Tian_15_Tian_Unknown_15.nii.gz
Tian_16_Tian_Unknown_16.nii.gz,Subcortical,Tian_S4,240,1920,individual_rois/limbic/Tian_16_Tian_Unknown_16.nii.gz
Tian_17_Tian_Unknown_17.nii.gz,Subcortical,Tian_S4,121,968,individual_rois/limbic/Tian_17_Tian_Unknown_17.nii.gz
Tian_18_Tian_Unknown_18.nii.gz,Subcortical,Tian_S4,165,1320,individual_rois/limbic/Tian_18_Tian_Unknown_18.nii.gz
Tian_19_Tian_Unknown_19.nii.gz,Subcortical,Tian_S4,107,856,individual_rois/limbic/Tian_19_Tian_Unknown_19.nii.gz
Tian_20_Tian_Unknown_20.nii.gz,Subcortical,Tian_S4,42,336,individual_rois/limbic/Tian_20_Tian_Unknown_20.nii.gz
Tian_21_Tian_Unknown_21.nii.gz,Subcortical,Tian_S4,160,1280,individual_rois/limbic/Tian_21_Tian_Unknown_21.nii.gz
Tian_22_Tian_Unknown_22.nii.gz,Subcortical,Tian_S4,190,1520,individual_rois/limbic/Tian_22_Tian_Unknown_22.nii.gz
Tian_23_Tian_Unknown_23.nii.gz,Subcortical,Tian_S4,201,1608,individual_rois/limbic/Tian_23_Tian_Unknown_23.nii.gz
Tian_24_Tian_Unknown_24.nii.gz,Subcortical,Tian_S4,116,928,individual_rois/limbic/Tian_24_Tian_Unknown_24.nii.gz
Tian_25_Tian_Unknown_25.nii.gz,Subcortical,Tian_S4,90,720,individual_rois/limbic/Tian_25_Tian_Unknown_25.nii.gz
Tian_26_Tian_Unknown_26.nii.gz,Subcortical,Tian_S4,90,720,individual_rois/limbic/Tian_26_Tian_Unknown_26.nii.gz
Tian_27_Tian_Unknown_27.nii.gz,Subcortical,Tian_S4,108,864,individual_rois/limbic/Tian_27_Tian_Unknown_27.nii.gz
Tian_28_Tian_Unknown_28.nii.gz,Subcortical,Tian_S4,85,680,individual_rois/limbic/Tian_28_Tian_Unknown_28.nii.gz
Tian_29_Tian_Unknown_29.nii.gz,Subcortical,Tian_S4,45,360,individual_rois/limbic/Tian_29_Tian_Unknown_29.nii.gz
Tian_30_Tian_Unknown_30.nii.gz,Subcortical,Tian_S4,199,1592,individual_rois/limbic/Tian_30_Tian_Unknown_30.nii.gz
Tian_31_Tian_Unknown_31.nii.gz,Subcortical,Tian_S4,139,1112,individual_rois/limbic/Tian_31_Tian_Unknown_31.nii.gz
Tian_32_Tian_Unknown_32.nii.gz,Subcortical,Tian_S4,216,1728,individual_rois/limbic/Tian_32_Tian_Unknown_32.nii.gz
Tian_33_Tian_Unknown_33.nii.gz,Subcortical,Tian_S4,198,1584,individual_rois/limbic/Tian_33_Tian_Unknown_33.nii.gz
Tian_34_Tian_Unknown_34.nii.gz,Subcortical,Tian_S4,106,848,individual_rois/limbic/Tian_34_Tian_Unknown_34.nii.gz
Tian_35_Tian_Unknown_35.nii.gz,Subcortical,Tian_S4,88,704,individual_rois/limbic/Tian_35_Tian_Unknown_35.nii.gz
Tian_36_Tian_Unknown_36.nii.gz,Subcortical,Tian_S4,98,784,individual_rois/limbic/Tian_36_Tian_Unknown_36.nii.gz
Tian_37_Tian_Unknown_37.nii.gz,Subcortical,Tian_S4,226,1808,individual_rois/limbic/Tian_37_Tian_Unknown_37.nii.gz
Tian_38_Tian_Unknown_38.nii.gz,Subcortical,Tian_S4,172,1376,individual_rois/limbic/Tian_38_Tian_Unknown_38.nii.gz
Tian_39_Tian_Unknown_39.nii.gz,Subcortical,Tian_S4,132,1056,individual_rois/limbic/Tian_39_Tian_Unknown_39.nii.gz
Tian_40_Tian_Unknown_40.nii.gz,Subcortical,Tian_S4,206,1648,individual_rois/limbic/Tian_40_Tian_Unknown_40.nii.gz
Tian_41_Tian_Unknown_41.nii.gz,Subcortical,Tian_S4,207,1656,individual_rois/limbic/Tian_41_Tian_Unknown_41.nii.gz
